  49 & 0.25 & 0.90 &  1000 &    1 &    0 &  0.33 \\ \hline
  50 & 0.25 & 0.90 &  2000 &    0 &    0 &  0.00 \\ \hline
  51 & 0.50 & 0.10 &   100 &    5 &    3 &  3.07 \\ \hline
  52 & 0.50 & 0.10 &   200 &    4 &    2 &  2.33 \\ \hline
  53 & 0.50 & 0.10 &   500 &    3 &    2 &  1.67 \\ \hline
  54 & 0.50 & 0.10 &  1000 &    2 &    1 &  1.27 \\ \hline
  55 & 0.50 & 0.10 &  2000 &    2 &    0 &  0.47 \\ \hline
  56 & 0.50 & 0.25 &   100 &    5 &    3 &  3.13 \\ \hline
  57 & 0.50 & 0.25 &   200 &    3 &    3 &  2.33 \\ \hline
  58 & 0.50 & 0.25 &   500 &    3 &    0 &  0.87 \\ \hline
  59 & 0.50 & 0.25 &  1000 &    3 &    1 &  1.13 \\ \hline
  60 & 0.50 & 0.25 &  2000 &    1 &    0 &  0.33 \\ \hline
  61 & 0.50 & 0.50 &   100 &    5 &    3 &  2.93 \\ \hline
  62 & 0.50 & 0.50 &   200 &    4 &    2 &  1.67 \\ \hline
  63 & 0.50 & 0.50 &   500 &    3 &    2 &  1.53 \\ \hline
  64 & 0.50 & 0.50 &  1000 &    3 &    1 &  0.87 \\ \hline
  65 & 0.50 & 0.50 &  2000 &    2 &    0 &  0.40 \\ \hline
  66 & 0.50 & 0.75 &   100 &    5 &    3 &  3.13 \\ \hline
  67 & 0.50 & 0.75 &   200 &    5 &    2 &  2.53 \\ \hline
  68 & 0.50 & 0.75 &   500 &    3 &    2 &  1.47 \\ \hline
  69 & 0.50 & 0.75 &  1000 &    3 &    1 &  1.07 \\ \hline
  70 & 0.50 & 0.75 &  2000 &    2 &    1 &  0.87 \\ \hline
  71 & 0.50 & 0.90 &   100 &    5 &    4 &  3.13 \\ \hline
  72 & 0.50 & 0.90 &   200 &    4 &    2 &  2.00 \\ \hline
  73 & 0.50 & 0.90 &   500 &    3 &    2 &  1.67 \\ \hline
  74 & 0.50 & 0.90 &  1000 &    2 &    1 &  0.80 \\ \hline
  75 & 0.50 & 0.90 &  2000 &    2 &    0 &  0.40 \\ \hline
  76 & 0.75 & 0.10 &   100 &    6 &    4 &  3.67 \\ \hline
  77 & 0.75 & 0.10 &   200 &    6 &    3 &  3.47 \\ \hline
  78 & 0.75 & 0.10 &   500 &    4 &    3 &  2.47 \\ \hline
  79 & 0.75 & 0.10 &  1000 &    4 &    2 &  1.93 \\ \hline
  80 & 0.75 & 0.10 &  2000 &    3 &    2 &  1.47 \\ \hline
  81 & 0.75 & 0.25 &   100 &    6 &    4 &  3.80 \\ \hline
  82 & 0.75 & 0.25 &   200 &    6 &    4 &  3.93 \\ \hline
  83 & 0.75 & 0.25 &   500 &    4 &    2 &  1.93 \\ \hline
  84 & 0.75 & 0.25 &  1000 &    3 &    2 &  1.87 \\ \hline
  85 & 0.75 & 0.25 &  2000 &    3 &    0 &  0.87 \\ \hline
  86 & 0.75 & 0.50 &   100 &    6 &    5 &  4.33 \\ \hline
  87 & 0.75 & 0.50 &   200 &    6 &    3 &  3.53 \\ \hline
  88 & 0.75 & 0.50 &   500 &    3 &    2 &  2.20 \\ \hline
  89 & 0.75 & 0.50 &  1000 &    3 &    2 &  1.73 \\ \hline
  90 & 0.75 & 0.50 &  2000 &    3 &    1 &  1.47 \\ \hline
  91 & 0.75 & 0.75 &   100 &    7 &    4 &  4.47 \\ \hline
  92 & 0.75 & 0.75 &   200 &    4 &    3 &  3.20 \\ \hline
  93 & 0.75 & 0.75 &   500 &    4 &    2 &  2.13 \\ \hline
  94 & 0.75 & 0.75 &  1000 &    3 &    2 &  1.87 \\ \hline
  95 & 0.75 & 0.75 &  2000 &    2 &    2 &  1.40 \\ \hline
  96 & 0.75 & 0.90 &   100 &    7 &    4 &  4.27 \\ \hline
  97 & 0.75 & 0.90 &   200 &    5 &    4 &  3.87 \\ \hline
  98 & 0.75 & 0.90 &   500 &    4 &    3 &  2.67 \\ \hline
  99 & 0.75 & 0.90 &  1000 &    3 &    2 &  1.93 \\ \hline
 100 & 0.75 & 0.90 &  2000 &    3 &    1 &  1.27 \\ \hline
 101 & 0.90 & 0.10 &   100 &    9 &    5 &  5.07 \\ \hline
 102 & 0.90 & 0.10 &   200 &    6 &    4 &  4.20 \\ \hline
 103 & 0.90 & 0.10 &   500 &    5 &    3 &  3.27 \\ \hline
 104 & 0.90 & 0.10 &  1000 &    4 &    3 &  2.53 \\ \hline
 105 & 0.90 & 0.10 &  2000 &    3 &    1 &  1.53 \\ \hline
 106 & 0.90 & 0.25 &   100 &    7 &    5 &  4.87 \\ \hline
 107 & 0.90 & 0.25 &   200 &    7 &    4 &  4.20 \\ \hline
 108 & 0.90 & 0.25 &   500 &    5 &    4 &  3.47 \\ \hline
 109 & 0.90 & 0.25 &  1000 &    5 &    3 &  2.47 \\ \hline
 110 & 0.90 & 0.25 &  2000 &    3 &    2 &  1.60 \\ \hline
 111 & 0.90 & 0.50 &   100 &    7 &    6 &  5.00 \\ \hline
 112 & 0.90 & 0.50 &   200 &    6 &    5 &  4.60 \\ \hline
 113 & 0.90 & 0.50 &   500 &    6 &    3 &  3.13 \\ \hline
 114 & 0.90 & 0.50 &  1000 &    3 &    2 &  2.00 \\ \hline
 115 & 0.90 & 0.50 &  2000 &    3 &    2 &  2.13 \\ \hline
 116 & 0.90 & 0.75 &   100 &    7 &    5 &  5.07 \\ \hline
 117 & 0.90 & 0.75 &   200 &    7 &    4 &  4.33 \\ \hline
 118 & 0.90 & 0.75 &   500 &    7 &    3 &  3.13 \\ \hline
 119 & 0.90 & 0.75 &  1000 &    4 &    2 &  2.33 \\ \hline
 120 & 0.90 & 0.75 &  2000 &    4 &    2 &  2.00 \\ \hline
 121 & 0.90 & 0.90 &   100 &    7 &    5 &  4.93 \\ \hline
 122 & 0.90 & 0.90 &   200 &    7 &    4 &  4.33 \\ \hline
 123 & 0.90 & 0.90 &   500 &    5 &    4 &  3.33 \\ \hline
 124 & 0.90 & 0.90 &  1000 &    4 &    3 &  2.80 \\ \hline
 125 & 0.90 & 0.90 &  2000 &    2 &    2 &  1.80 \\ \hline
